2024-11-04 21:55:48,484 PyTorch Device: cuda
2024-11-04 21:55:48,484 Number of qudits: 7
2024-11-04 21:55:48,484 Number of qubits: 14
2024-11-04 21:55:48,484 Ground State Energy: -4.0000
2024-11-04 21:55:48,484 Load: ./mats/VGON_nqd7_20241104_215455.mat without overlaps
2024-11-04 21:55:48,484 Energy: -3.88836166, KL: 2.9937e-03, Cos_Sim: 0.91862535, 0.17052525, Batch Size: 16
2024-11-04 21:58:20,974 Energy: -3.37325466, -3.84079365, -3.94739510, Cos_Sim: 0.82948321, 0.04348078, -0.63947809, Fidelity: 0.98904578, 0.91183716, 0.70425420, 24/60, 152.27
2024-11-04 21:58:27,201 Energy: -3.75420699, -3.85355059, -3.93879796, Cos_Sim: 0.78768194, 0.08691894, -0.69159335, Fidelity: 0.99069525, 0.91301507, 0.81495890, 25/60, 158.50
2024-11-04 21:58:33,378 Energy: -3.77785501, -3.86083672, -3.93894793, Cos_Sim: 0.77735031, 0.08606795, -0.75178820, Fidelity: 0.98301640, 0.93611798, 0.85403995, 26/60, 164.67
2024-11-04 21:58:39,597 Energy: -3.55655406, -3.83024860, -3.92251633, Cos_Sim: 0.83353901, 0.01664208, -0.67893678, Fidelity: 0.98352351, 0.91433826, 0.70035199, 27/60, 170.89
2024-11-04 21:58:45,804 Energy: -3.65841804, -3.83291425, -3.93538093, Cos_Sim: 0.86199588, 0.14736387, -0.65329373, Fidelity: 0.99194983, 0.93850512, 0.82652450, 28/60, 177.10
2024-11-04 21:58:52,019 Energy: -3.71470672, -3.83760250, -3.93239397, Cos_Sim: 0.86487162, 0.06633351, -0.59991789, Fidelity: 0.98432447, 0.92619566, 0.80865488, 29/60, 183.31
2024-11-04 21:58:58,196 Energy: -3.42203029, -3.84061011, -3.93823661, Cos_Sim: 0.92299664, 0.03284858, -0.70065582, Fidelity: 0.99236748, 0.91440899, 0.71004093, 30/60, 189.49
2024-11-04 21:59:04,422 Energy: -3.66291362, -3.86920734, -3.94068503, Cos_Sim: 0.78629565, 0.05088659, -0.75218457, Fidelity: 0.98280808, 0.92554647, 0.79826130, 31/60, 195.72
2024-11-04 21:59:10,614 Energy: -3.73312800, -3.84271234, -3.92236842, Cos_Sim: 0.97885203, 0.05257573, -0.63008642, Fidelity: 0.98732604, 0.92731747, 0.81501252, 32/60, 201.91
2024-11-04 21:59:16,805 Energy: -3.73826321, -3.84898386, -3.93143989, Cos_Sim: 0.80748129, 0.11574924, -0.58460027, Fidelity: 0.98505829, 0.93701948, 0.85854130, 33/60, 208.10
2024-11-04 21:59:23,033 Energy: -3.65864374, -3.84894981, -3.93370434, Cos_Sim: 0.97136140, 0.04551984, -0.79331595, Fidelity: 0.98812145, 0.92644266, 0.81564502, 34/60, 214.33
2024-11-04 21:59:29,246 Energy: -3.68339166, -3.84725613, -3.93622978, Cos_Sim: 0.80534732, 0.06217959, -0.65685368, Fidelity: 0.99359757, 0.94725551, 0.86881925, 35/60, 220.54
2024-11-04 21:59:35,415 Energy: -3.79223947, -3.87936904, -3.92928022, Cos_Sim: 0.89751989, 0.12066376, -0.58289814, Fidelity: 0.98509494, 0.93266875, 0.82764363, 36/60, 226.71
2024-11-04 21:59:41,621 Energy: -3.81149830, -3.88769958, -3.93689989, Cos_Sim: 0.79730296, 0.11656988, -0.67874604, Fidelity: 0.98629361, 0.94021591, 0.84989561, 37/60, 232.92
2024-11-04 21:59:47,923 Energy: -3.72467847, -3.86005604, -3.94861662, Cos_Sim: 0.84290540, 0.11703262, -0.59069461, Fidelity: 0.98737009, 0.94165829, 0.84377630, 38/60, 239.22
2024-11-04 21:59:54,206 Energy: -3.67075657, -3.84712031, -3.92812893, Cos_Sim: 0.84720087, 0.07139323, -0.57321060, Fidelity: 0.98407232, 0.94179125, 0.86549161, 39/60, 245.50
2024-11-04 22:00:00,383 Energy: -3.66278861, -3.83752917, -3.93358351, Cos_Sim: 0.80694211, 0.07966941, -0.70699501, Fidelity: 0.98493211, 0.91095691, 0.69866106, 40/60, 251.68
2024-11-04 22:00:06,529 Energy: -3.61499219, -3.83267087, -3.95699849, Cos_Sim: 0.95596850, 0.06620045, -0.75891411, Fidelity: 0.98582641, 0.91024199, 0.74836816, 41/60, 257.82
2024-11-04 22:00:12,751 Energy: -3.55934640, -3.84574877, -3.92487688, Cos_Sim: 0.87423652, 0.11360685, -0.77087629, Fidelity: 0.97310446, 0.90924798, 0.75948308, 42/60, 264.05
2024-11-04 22:00:18,997 Energy: -3.77237985, -3.87113342, -3.94756532, Cos_Sim: 0.92958915, 0.12690467, -0.52641976, Fidelity: 0.98183890, 0.93561768, 0.87253633, 43/60, 270.29
2024-11-04 22:00:25,205 Energy: -3.76007318, -3.88342582, -3.94678403, Cos_Sim: 0.89203203, 0.08929611, -0.72455281, Fidelity: 0.98874971, 0.93856387, 0.84087044, 44/60, 276.50
2024-11-04 22:00:31,399 Energy: -3.63881652, -3.83799991, -3.94607007, Cos_Sim: 0.93032134, 0.12738274, -0.66972220, Fidelity: 0.98436810, 0.90795779, 0.78221354, 45/60, 282.69
