2025-01-17 16:04:57,777 Load: ./mats/VGON_nqd7_L3_20250117_122410.mat, 1000/1000
2025-01-17 16:04:57,777 PyTorch Device: cuda
2025-01-17 16:04:57,778 Number of layers: 3
2025-01-17 16:04:57,778 Number of qudits: 7
2025-01-17 16:04:57,778 Number of qubits: 14
2025-01-17 16:04:57,778 Coefficient phase: 0.49π
2025-01-17 16:04:58,141 Ground State Energy: 5.8611
2025-01-17 16:09:13,487 Energy: 5.89251848, 5.89221387, 5.89198941, Gap: 3.1142e-02, 312/312, 39/100, 255.14
2025-01-17 16:09:19,933 Energy: 5.89247672, 5.89210759, 5.89199073, Gap: 3.1035e-02, 320/320, 40/100, 261.58
2025-01-17 16:09:26,317 Energy: 5.89228485, 5.89210737, 5.89189564, Gap: 3.1035e-02, 328/328, 41/100, 267.97
2025-01-17 16:09:32,756 Energy: 5.89241694, 5.89203575, 5.89177049, Gap: 3.0964e-02, 336/336, 42/100, 274.41
2025-01-17 16:09:39,323 Energy: 5.89248790, 5.89219487, 5.89194317, Gap: 3.1123e-02, 344/344, 43/100, 280.97
2025-01-17 16:09:45,748 Energy: 5.89230821, 5.89210203, 5.89190895, Gap: 3.1030e-02, 352/352, 44/100, 287.40
2025-01-17 16:09:52,269 Energy: 5.89232218, 5.89207250, 5.89171228, Gap: 3.1000e-02, 360/360, 45/100, 293.92
2025-01-17 16:09:58,674 Energy: 5.89231090, 5.89211033, 5.89193939, Gap: 3.1038e-02, 368/368, 46/100, 300.32
2025-01-17 16:10:05,080 Energy: 5.89243039, 5.89222852, 5.89204727, Gap: 3.1156e-02, 376/376, 47/100, 306.73
2025-01-17 16:10:11,557 Energy: 5.89261238, 5.89218066, 5.89188946, Gap: 3.1108e-02, 384/384, 48/100, 313.21
2025-01-17 16:10:17,876 Energy: 5.89232964, 5.89209491, 5.89181613, Gap: 3.1023e-02, 392/392, 49/100, 319.53
2025-01-17 16:10:24,151 Energy: 5.89229672, 5.89206377, 5.89186350, Gap: 3.0992e-02, 400/400, 50/100, 325.80
2025-01-17 16:10:30,631 Energy: 5.89244221, 5.89215366, 5.89194057, Gap: 3.1081e-02, 408/408, 51/100, 332.28
2025-01-17 16:10:36,972 Energy: 5.89249016, 5.89211591, 5.89185219, Gap: 3.1044e-02, 416/416, 52/100, 338.62
2025-01-17 16:10:43,252 Energy: 5.89267259, 5.89214745, 5.89195426, Gap: 3.1075e-02, 424/424, 53/100, 344.90
2025-01-17 16:10:49,652 Energy: 5.89223263, 5.89209041, 5.89192594, Gap: 3.1018e-02, 432/432, 54/100, 351.30
2025-01-17 16:10:56,006 Energy: 5.89250827, 5.89216126, 5.89188263, Gap: 3.1089e-02, 440/440, 55/100, 357.66
2025-01-17 16:11:02,309 Energy: 5.89245286, 5.89213747, 5.89188882, Gap: 3.1065e-02, 448/448, 56/100, 363.96
2025-01-17 16:11:08,795 Energy: 5.89253873, 5.89224776, 5.89207970, Gap: 3.1176e-02, 456/456, 57/100, 370.45
2025-01-17 16:11:15,100 Energy: 5.89244245, 5.89211585, 5.89188331, Gap: 3.1044e-02, 464/464, 58/100, 376.75
2025-01-17 16:11:21,459 Energy: 5.89283911, 5.89220064, 5.89198118, Gap: 3.1128e-02, 472/472, 59/100, 383.11
2025-01-17 16:11:27,919 Energy: 5.89262073, 5.89210723, 5.89181049, Gap: 3.1035e-02, 480/480, 60/100, 389.57
2025-01-17 16:11:34,401 Energy: 5.89248536, 5.89219126, 5.89192802, Gap: 3.1119e-02, 488/488, 61/100, 396.05
2025-01-17 16:11:40,741 Energy: 5.89228226, 5.89214507, 5.89202822, Gap: 3.1073e-02, 496/496, 62/100, 402.39
2025-01-17 16:11:47,282 Energy: 5.89226172, 5.89204083, 5.89190646, Gap: 3.0969e-02, 504/504, 63/100, 408.93
